"CaseID","Opened","Closed","Updated","Status","Status Notes","Responsible Agency","Category","Request Type","Request Details","Address","Street","Supervisor District","Neighborhood","Police District","Latitude","Longitude","Point","Source","Media URL"
"11058261","06/28/2019 11:13:48 AM","06/28/2019 04:05:57 PM","06/28/2019 04:05:57 PM","Closed","Case Resolved - Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Furniture","2127 POWELL ST, SAN FRANCISCO, CA, 94133","POWELL ST","3","North Beach","CENTRAL","37.80420636762","-122.41147141915","POINT (-122.41147142 37.80420637)","Mobile/Open311","http://mobile311.sfgov.org/reports/11058261/photos"
"11058254","06/28/2019 11:13:20 AM","06/28/2019 04:05:57 PM","06/28/2019 04:05:57 PM","Closed","Case Resolved - Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Mattress","2100 POWELL ST, SAN FRANCISCO, CA, 94133","POWELL ST","3","North Beach","CENTRAL","37.80408055525","-122.41145641554","POINT (-122.41145642 37.80408056)","Mobile/Open311","http://mobile311.sfgov.org/reports/11058254/photos"
"11057873","06/28/2019 10:10:00 AM","06/28/2019 11:39:00 AM","06/28/2019 11:39:00 AM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","620 FILBERT ST, SAN FRANCISCO, CA, 94133","FILBERT ST","3","North Beach","CENTRAL","37.80116637707","-122.40972504963","POINT (-122.40972505 37.80116638)","Mobile/Open311","http://mobile311.sfgov.org/reports/11057873/photos"
"11057790","06/28/2019 09:56:19 AM","06/29/2019 06:04:41 AM","06/29/2019 06:04:41 AM","Closed","Case Resolved - Pickup completed","Recology_Overflowing","Street and Sidewalk Cleaning","City_garbage_can_overflowing","City_garbage_can_overflowing","Intersection of LOMBARD ST and NEWELL ST","LOMBARD ST","3","North Beach","CENTRAL","37.80266803693","-122.41347888496","POINT (-122.41347888 37.80266804)","Mobile/Open311","http://mobile311.sfgov.org/reports/11057790/photos"
"11057514","06/28/2019 09:19:29 AM","06/28/2019 02:37:42 PM","06/28/2019 02:37:42 PM","Closed","Case Resolved - Pickup completed.","Recology_Overflowing","Street and Sidewalk Cleaning","City_garbage_can_overflowing","City_garbage_can_overflowing","600 GREEN ST, SAN FRANCISCO, CA, 94133","GREEN ST","3","North Beach","CENTRAL","37.79964666667","-122.409125","POINT (-122.409125 37.79964667)","Mobile/Open311","http://mobile311.sfgov.org/reports/11057514/photos"
"11057247","06/28/2019 08:42:42 AM","06/28/2019 09:23:00 AM","06/28/2019 09:23:00 AM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","Intersection of POWELL ST and GREENWICH ST","POWELL ST","3","North Beach","CENTRAL","37.80207417909","-122.41122541029","POINT (-122.41122541 37.80207418)","Mobile/Open311","http://mobile311.sfgov.org/reports/11057247/photos"
"11057245","06/28/2019 08:42:00 AM","06/28/2019 09:22:00 AM","06/28/2019 09:22:00 AM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","784 VALLEJO ST, SAN FRANCISCO, CA, 94133","VALLEJO ST","3","North Beach","CENTRAL","37.79854947736","-122.41020120533","POINT (-122.41020121 37.79854948)","Mobile/Open311","http://mobile311.sfgov.org/reports/11057245/photos"
"11057157","06/28/2019 08:25:45 AM","06/28/2019 01:54:08 PM","06/28/2019 01:54:08 PM","Closed","Case Resolved - PRIVATE PROPERTY .","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Furniture","27 CADELL PL, SAN FRANCISCO, CA, 94133","CADELL PL","3","North Beach","CENTRAL","37.80073727382","-122.40805076223","POINT (-122.40805076 37.80073727)","Mobile/Open311","http://mobile311.sfgov.org/reports/11057157/photos"
"11057084","06/28/2019 08:11:38 AM","07/05/2019 04:33:00 PM","07/05/2019 04:33:00 PM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","Human or Animal Waste","Human or Animal Waste","74 FRESNO ST, SAN FRANCISCO, CA, 94133","FRESNO ST","3","North Beach","CENTRAL","37.798611","-122.406768","POINT (-122.406768 37.798611)","Web","http://mobile311.sfgov.org/reports/11057084/photos"
"11056868","06/28/2019 07:17:00 AM","06/28/2019 02:38:10 PM","06/28/2019 02:38:10 PM","Closed","Case Resolved - WASTE NOT FOUND .","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Furniture","1800 STOCKTON ST, SAN FRANCISCO, CA, 94133","STOCKTON ST","3","North Beach","CENTRAL","37.8024520874","-122.40943908691","POINT (-122.40943909 37.80245209)","Phone",
"11055214","06/27/2019 04:05:00 PM","06/30/2019 07:29:00 AM","06/30/2019 07:29:00 AM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","673 UNION ST, SAN FRANCISCO, CA, 94133","UNION ST","3","North Beach","CENTRAL","37.80033503002","-122.41058249823","POINT (-122.4105825 37.80033503)","Mobile/Open311","http://mobile311.sfgov.org/reports/11055214/photos"
"11055054","06/27/2019 03:36:00 PM","06/28/2019 09:24:00 PM","06/28/2019 09:24:00 PM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","Human or Animal Waste","Human or Animal Waste","74 FRESNO ST, SAN FRANCISCO, CA, 94133","FRESNO ST","3","North Beach","CENTRAL","37.798611","-122.406768","POINT (-122.406768 37.798611)","Web","http://mobile311.sfgov.org/reports/11055054/photos"
"11054376","06/27/2019 01:46:03 PM","06/27/2019 03:50:25 PM","06/27/2019 03:50:25 PM","Closed","Case Resolved - Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Electronics","712 VALLEJO ST, SAN FRANCISCO, CA, 94133","VALLEJO ST","3","North Beach","CENTRAL","37.798522","-122.409039","POINT (-122.409039 37.798522)","Mobile/Open311","http://mobile311.sfgov.org/reports/11054376/photos"
"11053430","06/27/2019 11:17:05 AM","06/27/2019 02:16:28 PM","06/27/2019 02:16:28 PM","Closed","Case Resolved - WASTE NOT FOUND","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Furniture","377 BROADWAY, SAN FRANCISCO, CA, 94133","BROADWAY","3","North Beach","CENTRAL","37.79807642889","-122.40348310884","POINT (-122.40348311 37.79807643)","Mobile/Open311","http://mobile311.sfgov.org/reports/11053430/photos"
"11052840","06/27/2019 09:51:00 AM","06/27/2019 11:24:00 AM","06/27/2019 11:24:00 AM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","1122 KEARNY ST, SAN FRANCISCO, CA, 94133","KEARNY ST","3","North Beach","CENTRAL","37.79839298422","-122.40542795325","POINT (-122.40542795 37.79839298)","Mobile/Open311","http://mobile311.sfgov.org/reports/11052840/photos"
"11052459","06/27/2019 09:00:50 AM","06/27/2019 07:01:08 PM","06/27/2019 07:01:08 PM","Closed","Case Resolved - Pickup completed","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Boxed or Bagged Items","9 SONOMA ST, SAN FRANCISCO, CA, 94133","SONOMA ST","3","North Beach","CENTRAL","37.80032394133","-122.4064410276","POINT (-122.40644103 37.80032394)","Mobile/Open311",
"11051984","06/27/2019 07:35:00 AM","06/27/2019 02:16:42 PM","06/27/2019 02:16:42 PM","Closed","Case Resolved - Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Mattress","Intersection of VALLEJO ST and STOCKTON ST","VALLEJO ST","3","North Beach","CENTRAL","37.79857254028","-122.40880584717","POINT (-122.40880585 37.79857254)","Phone",
"11051363","06/26/2019 08:59:00 PM","06/27/2019 09:14:44 AM","06/27/2019 09:14:44 AM","Closed","Case Resolved - Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Furniture","74 FRESNO ST, SAN FRANCISCO, CA, 94133","FRESNO ST","3","North Beach","CENTRAL","37.798611","-122.406768","POINT (-122.406768 37.798611)","Web","http://mobile311.sfgov.org/reports/11051363/photos"
"11051354","06/26/2019 08:55:00 PM","06/30/2019 12:00:00 AM","06/30/2019 12:00:00 AM","Closed","Case is a Duplicate - Request is a duplicate and has been previously reported as 11046578","DPW Ops Queue","Street and Sidewalk Cleaning","Human or Animal Waste","Human or Animal Waste","74 FRESNO ST, SAN FRANCISCO, CA, 94133","FRESNO ST","3","North Beach","CENTRAL","37.798611","-122.406768","POINT (-122.406768 37.798611)","Web","http://mobile311.sfgov.org/reports/11051354/photos"
"11051342","06/26/2019 08:44:10 PM","06/27/2019 09:14:49 AM","06/27/2019 09:14:49 AM","Closed","Case Resolved - Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Boxed or Bagged Items","633 VALLEJO ST, SAN FRANCISCO, CA, 94133","VALLEJO ST","3","North Beach","CENTRAL","37.7984886","-122.4086339","POINT (-122.4086339 37.7984886)","Web","http://mobile311.sfgov.org/reports/11051342/photos"
"11050812","06/26/2019 05:59:00 PM","06/30/2019 12:00:00 AM","06/30/2019 12:00:00 AM","Closed","Case is a Duplicate - Request is a duplicate and has been previously reported as 11046578","DPW Ops Queue","Street and Sidewalk Cleaning","Human or Animal Waste","Human or Animal Waste","74 FRESNO ST, SAN FRANCISCO, CA, 94133","FRESNO ST","3","North Beach","CENTRAL","37.798611","-122.406768","POINT (-122.406768 37.798611)","Web","http://mobile311.sfgov.org/reports/11050812/photos"
"11050771","06/26/2019 05:50:00 PM","06/27/2019 08:55:00 PM","06/27/2019 08:55:00 PM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","Human or Animal Waste","Human or Animal Waste","650 COLUMBUS AVE, SAN FRANCISCO, CA, 94133","COLUMBUS AVE","3","North Beach","CENTRAL","37.80076933335","-122.41063049017","POINT (-122.41063049 37.80076933)","Mobile/Open311",
"11050425","06/26/2019 04:33:00 PM","06/27/2019 02:15:11 PM","06/27/2019 02:15:11 PM","Closed","Case Resolved - Pickup completed.","DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","305 FRANCISCO ST, SAN FRANCISCO, CA, 94133","FRANCISCO ST","3","North Beach","CENTRAL","37.80502603341","-122.41016272914","POINT (-122.41016273 37.80502603)","Mobile/Open311","http://mobile311.sfgov.org/reports/11050425/photos"
"11050296","06/26/2019 04:08:00 PM","06/26/2019 06:25:16 PM","06/26/2019 06:25:16 PM","Closed","Case Resolved - PRIVATE PROPERTY","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Boxed or Bagged Items","629 UNION ST, SAN FRANCISCO, CA, 94133","UNION ST","3","North Beach","CENTRAL","37.80018997192","-122.40969085693","POINT (-122.40969086 37.80018997)","Phone",
"11050207","06/26/2019 03:52:00 PM","06/26/2019 05:57:00 PM","06/26/2019 05:57:00 PM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","645 LOMBARD ST, SAN FRANCISCO, CA, 94133","LOMBARD ST","3","North Beach","CENTRAL","37.80287364501","-122.4122181629","POINT (-122.41221816 37.80287365)","Mobile/Open311","http://mobile311.sfgov.org/reports/11050207/photos"
"11049293","06/26/2019 01:28:00 PM","07/01/2019 10:53:00 AM","07/01/2019 10:53:00 AM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","Human or Animal Waste","Human or Animal Waste","1111 KEARNY ST, SAN FRANCISCO, CA, 94133","KEARNY ST","3","North Beach","CENTRAL","37.79825685512","-122.40557681189","POINT (-122.40557681 37.79825686)","Mobile/Open311","http://mobile311.sfgov.org/reports/11049293/photos"
"11048644","06/26/2019 11:41:55 AM","06/26/2019 01:34:23 PM","06/26/2019 01:34:23 PM","Closed","Case Resolved - Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Refrigerator","Intersection of BROADWAY and MONTGOMERY ST","BROADWAY","3","North Beach","CENTRAL","37.79822158814","-122.40386199951","POINT (-122.403862 37.79822159)","Integrated Agency",
"11047579","06/26/2019 09:01:00 AM","06/30/2019 05:35:00 PM","06/30/2019 05:35:00 PM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","Hazardous Materials","Glass","Intersection of VALLEJO ST and STOCKTON ST","VALLEJO ST","3","North Beach","CENTRAL","37.79857254028","-122.40880584717","POINT (-122.40880585 37.79857254)","Phone",
"11047568","06/26/2019 08:59:00 AM","07/01/2019 08:01:00 AM","07/01/2019 08:01:00 AM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","Intersection of VALLEJO ST and STOCKTON ST","VALLEJO ST","3","North Beach","CENTRAL","37.79857254028","-122.40880584717","POINT (-122.40880585 37.79857254)","Phone",
"11047061","06/26/2019 07:16:00 AM","06/30/2019 12:00:00 AM","06/30/2019 12:00:00 AM","Closed","Case is a Duplicate - Request is a duplicate and has been previously reported as 11047061","DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","2149 POWELL ST, SAN FRANCISCO, CA, 94133","POWELL ST","3","North Beach","CENTRAL","37.80440260327","-122.41165700528","POINT (-122.41165701 37.8044026)","Mobile/Open311","http://mobile311.sfgov.org/reports/11047061/photos"
"11046967","06/26/2019 06:28:00 AM","06/26/2019 08:07:00 AM","06/26/2019 08:07:00 AM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","2225 MASON ST, SAN FRANCISCO, CA, 94133","MASON ST","3","North Beach","CENTRAL","37.80412821439","-122.41333802648","POINT (-122.41333803 37.80412821)","Mobile/Open311","http://mobile311.sfgov.org/reports/11046967/photos"
"11046906","06/26/2019 05:34:00 AM","06/26/2019 10:54:00 AM","06/26/2019 10:54:00 AM","Closed","Case Resolved","DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","Intersection of MONTGOMERY ST and BROADWAY","MONTGOMERY ST","3","North Beach","CENTRAL","37.79822158814","-122.40386199951","POINT (-122.403862 37.79822159)","Phone",
"11046775","06/26/2019 12:32:15 AM","06/26/2019 09:06:25 AM","06/26/2019 09:06:25 AM","Closed","Case Resolved - Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Boxed or Bagged Items","1437 STOCKTON ST, SAN FRANCISCO, CA, 94133","STOCKTON ST","3","North Beach","CENTRAL","37.7990746","-122.4090739","POINT (-122.4090739 37.7990746)","Web","http://mobile311.sfgov.org/reports/11046775/photos"
"11046578","06/25/2019 09:28:00 PM","06/30/2019 12:00:00 AM","06/30/2019 12:00:00 AM","Closed","Case is a Duplicate - Request is a duplicate and has been previously reported as 11046578","DPW Ops Queue","Street and Sidewalk Cleaning","Human or Animal Waste","Human or Animal Waste","74 FRESNO ST, SAN FRANCISCO, CA, 94133","FRESNO ST","3","North Beach","CENTRAL","37.798611","-122.406768","POINT (-122.406768 37.798611)","Web","http://mobile311.sfgov.org/reports/11046578/photos"
"11046435","06/25/2019 08:33:00 PM","06/26/2019 01:34:36 PM","06/26/2019 01:34:36 PM","Closed","Case Resolved - Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Boxed or Bagged Items","Intersection of KEARNY ST and VALLEJO ST","KEARNY ST","3","North Beach","CENTRAL","37.7989692688","-122.40564727783","POINT (-122.40564728 37.79896927)","Phone",
"11046245","06/25/2019 07:12:00 PM","06/26/2019 08:50:46 AM","06/26/2019 08:50:46 AM","Closed","Case Resolved - Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage","2332 TAYLOR ST, SAN FRANCISCO, CA, 94133","TAYLOR ST","3","North Beach","CENTRAL","37.80405314828","-122.41491778991","POINT (-122.41491779 37.80405315)","Mobile/Open311","http://mobile311.sfgov.org/reports/11046245/photos"
"11043872","06/25/2019 11:37:53 AM","06/25/2019 04:36:08 PM","06/25/2019 04:36:08 PM","Closed","Case Resolved - Pickup completed.","Recology_Abandoned","Street and Sidewalk Cleaning","Bulky Items","Mattress","1031 KEARNY ST, SAN FRANCISCO, CA, 94133","KEARNY ST","3","North Beach","CENTRAL","37.79765152282","-122.40562771462","POINT (-122.40562771 37.79765152)","Mobile/Open311","http://mobile311.sfgov.org/reports/11043872/photos"
